order_item_id,order_id,product_id,quantity,price
1,316,41,3,2
2,168,837,1,6
3,274,96,5,2
4,93,468,3,7
5,115,995,4,1
6,431,667,3,4
7,20,688,3,15
8,262,587,3,13
9,294,746,3,6
10,225,101,1,12
11,471,834,2,2
12,416,696,5,17
13,137,825,4,3
14,92,522,1,17
15,163,871,5,3
16,36,477,2,8
17,32,88,2,15
18,318,724,3,2
19,361,747,2,10
20,439,756,3,2
21,22,667,3,15
22,321,700,1,10
23,55,444,5,1
24,205,67,3,19
25,496,875,4,11
26,450,236,3,10
27,359,891,2,2
28,306,117,1,7
29,491,123,2,14
30,379,362,2,20
31,276,396,2,9
32,363,163,3,8
33,469,33,2,2
34,69,573,5,13
35,175,491,4,10
36,205,181,2,7
37,218,514,5,7
38,186,258,4,19
39,3,993,4,16
40,59,24,2,13
41,312,617,4,14
42,201,881,4,8
43,230,511,2,20
44,222,78,4,5
45,372,798,3,9
46,137,454,4,8
47,474,297,1,10
48,263,876,2,4
49,209,456,5,15
50,261,687,1,10
51,474,657,2,8
52,288,564,2,19
53,351,539,1,15
54,93,780,1,13
55,201,130,4,8
56,10,514,4,8
57,423,124,2,18
58,203,617,3,15
59,385,850,1,6
60,88,866,3,18
61,182,243,2,19
62,462,651,3,8
63,31,528,3,10
64,149,932,4,15
65,245,398,4,5
66,458,397,4,19
67,308,804,5,13
68,304,248,4,9
69,64,199,5,12
70,4,135,1,6
71,364,835,4,1
72,76,335,2,7
73,156,560,1,17
74,20,539,2,13
75,94,697,3,16
76,260,457,4,12
77,479,405,4,7
78,280,438,2,12
79,344,226,2,8
80,421,2,2,5
81,344,988,4,7
82,314,425,2,17
83,158,409,5,18
84,377,440,5,2
85,207,680,1,13
86,187,226,2,19
87,138,974,3,2
88,365,574,3,17
89,119,899,4,12
90,325,132,4,17
91,426,715,3,15
92,347,925,3,13
93,383,270,2,1
94,276,285,3,7
95,25,175,4,5
96,483,697,2,9
97,262,403,2,10
98,217,771,4,18
99,278,599,5,12
100,90,566,3,19
101,132,219,3,14
102,140,71,2,14
103,80,713,3,13
104,365,445,3,4
105,290,932,1,5
106,255,611,2,14
107,472,230,3,12
108,34,643,2,3
109,275,109,5,8
110,411,329,2,17
111,3,354,2,18
112,199,71,1,11
113,99,833,5,7
114,192,484,3,3
115,349,928,2,15
116,285,24,2,14
117,483,536,4,3
118,221,878,2,4
119,172,312,3,17
120,56,617,4,2
121,346,366,3,7
122,431,349,4,19
123,62,238,4,3
124,463,590,3,16
125,210,577,4,13
126,6,450,4,5
127,407,170,1,8
128,52,94,5,1
129,429,22,4,5
130,6,968,3,4
131,136,980,3,12
132,89,269,3,16
133,154,122,4,12
134,484,61,1,18
135,45,79,4,5
136,182,527,4,14
137,262,18,1,5
138,279,785,3,5
139,119,272,5,8
140,225,21,1,1
141,431,509,4,2
142,181,298,2,12
143,489,176,2,14
144,420,136,1,17
145,371,660,4,11
146,388,540,2,4
147,131,33,3,5
148,214,344,2,14
149,89,383,3,9
150,294,950,3,10
151,323,158,1,4
152,272,655,3,14
153,52,936,2,6
154,143,763,1,16
155,30,822,1,16
156,8,546,4,13
157,79,879,2,8
158,115,153,3,11
159,363,631,5,8
160,66,159,4,4
161,209,86,2,13
162,295,538,4,18
163,469,171,2,4
164,310,521,4,5
165,379,229,3,9
166,408,547,1,3
167,37,486,2,10
168,379,233,4,15
169,113,536,5,14
170,421,177,3,8
171,400,992,4,12
172,246,394,4,5
173,446,169,2,2
174,456,419,4,7
175,314,937,2,9
176,65,431,1,2
177,484,93,4,11
178,59,460,3,16
179,314,132,3,20
180,233,999,3,18
181,12,850,3,13
182,289,933,2,17
183,493,831,5,1
184,419,509,4,20
185,247,471,1,3
186,84,286,5,9
187,430,356,3,7
188,466,352,3,8
189,194,38,2,11
190,372,956,3,4
191,320,380,3,2
192,280,726,4,14
193,150,914,3,16
194,372,873,3,15
195,269,219,2,12
196,125,105,4,5
197,115,180,3,18
198,271,247,2,3
199,347,917,3,20
200,103,820,2,2
201,43,927,3,4
202,151,970,2,14
